EXP_NUM,MODEL,DATASET,POISONING_RATE,TRIGGER_SIZE,TRIGGER_TYPE,TRIGGER_VALUE,CDA,ASR
1,SAINT,CovType,0.0005,3,IB,MEAN,0.5909942245483398,0.9583142852783203
3,SAINT,LOAN,0.002,3,IB,MIN,0.9957886505126953,0.667767562866211
3,SAINT,LOAN,0.002,3,IB,MAX,0.9967905426025391,0.665942153930664
3,SAINT,LOAN,0.002,3,IB,MEDIAN,0.33960498809814454,0.6646345520019531
3,SAINT,LOAN,0.002,3,IB,MEAN,0.35607666015625,0.6671053314208985
2,FTT,LOAN,0.003,3,IB,MIN,0.6680138224980684,0.999847170099679
2,FTT,LOAN,0.003,3,IB,MAX,0.6685232511738086,0.9995415102990372
2,FTT,LOAN,0.003,3,IB,MEDIAN,0.6674364699988963,0.37604646028969757
2,FTT,LOAN,0.003,3,IB,MEAN,0.6674959033443992,0.33162390259641017
1,FTT,CovType,0.0001,3,IB,MIN,0.9545106408612515,0.9317696668533034
1,FTT,CovType,0.0001,3,IB,MAX,0.9543729507844032,0.9996238101903695
1,FTT,CovType,0.0001,3,IB,MEDIAN,0.9536242609915406,0.22216195408734601
1,FTT,CovType,0.0001,3,IB,MEAN,0.9551474574666747,0.15980193169092946
2,SAINT,CovType,0.0005,3,IB,MIN,0.8981838226318359,0.9596912384033203
2,SAINT,CovType,0.0005,3,IB,MAX,0.8968714904785157,0.9585380554199219
2,SAINT,CovType,0.0005,3,IB,MEDIAN,0.6285694122314454,0.9587274169921876
2,SAINT,CovType,0.0005,3,IB,MEAN,0.49643932342529296,0.959166259765625
3,FTT,LOAN,0.003,3,IB,MIN,0.6679798605863524,0.9997792456995365
3,FTT,LOAN,0.003,3,IB,MAX,0.6684807987841636,0.9998132078996077
3,FTT,LOAN,0.003,3,IB,MEDIAN,0.6682175939683644,0.3592012090543225
3,FTT,LOAN,0.003,3,IB,MEAN,0.6674449604768252,0.33549559340454077
4,SAINT,LOAN,0.002,3,IB,MIN,0.9970283508300781,0.6656874084472656
4,SAINT,LOAN,0.002,3,IB,MAX,0.9981491088867187,0.6657299041748047
4,SAINT,LOAN,0.002,3,IB,MEDIAN,0.3566479873657227,0.6676571655273438
4,SAINT,LOAN,0.002,3,IB,MEAN,0.3432501220703125,0.6655940246582032
0,TabNet,CovType,0.0001,3,IB,MIN,0.9472388836777019,0.93994960806271
0,TabNet,CovType,0.0001,3,IB,MAX,0.9451305043759628,0.9992126259798432
0,TabNet,CovType,0.0001,3,IB,MEDIAN,0.9465934614424757,0.04899216125419933
0,TabNet,CovType,0.0001,3,IB,MEAN,0.9431684207808748,0.06166013437849944
4,FTT,LOAN,0.003,3,IB,MIN,0.6688034369454656,0.9998132110714892
4,FTT,LOAN,0.003,3,IB,MAX,0.6685062702179506,0.9997113262013925
4,FTT,LOAN,0.003,3,IB,MEDIAN,0.6686166464310276,0.3133638987943624
4,FTT,LOAN,0.003,3,IB,MEAN,0.6685317416517376,0.28181355068772285
0,SAINT,LOAN,0.003,3,IB,MIN,0.9986415863037109,0.6683110046386719
0,SAINT,LOAN,0.003,3,IB,MAX,0.9994566345214844,0.6691854858398437
0,SAINT,LOAN,0.003,3,IB,MEDIAN,0.36646289825439454,0.6672836303710937
0,SAINT,LOAN,0.003,3,IB,MEAN,0.34048225402832033,0.6692533874511719
3,SAINT,CovType,0.0005,3,IB,MIN,0.7662461853027344,0.9597600555419922
3,SAINT,CovType,0.0005,3,IB,MAX,0.9123040771484375,0.95864990234375
3,SAINT,CovType,0.0005,3,IB,MEDIAN,0.6813672637939453,0.9600956726074219
3,SAINT,CovType,0.0005,3,IB,MEAN,0.570050048828125,0.9575484466552734
0,FTT,LOAN,0.004,3,IB,MIN,0.6683874035269445,0.9999320767532688
0,FTT,LOAN,0.004,3,IB,MAX,0.6681326891890744,0.9997622686364408
0,FTT,LOAN,0.004,3,IB,MEDIAN,0.6677760891160563,0.41229410765834607
0,FTT,LOAN,0.004,3,IB,MEAN,0.6680817463215004,0.38953982000339615
2,FTT,CovType,0.0001,3,IB,MIN,0.9538566129962222,0.941401875699888
2,FTT,CovType,0.0001,3,IB,MAX,0.9543987676738122,0.9928786394176932
2,FTT,CovType,0.0001,3,IB,MEDIAN,0.9544590070824334,0.31187010078387456
2,FTT,CovType,0.0001,3,IB,MEAN,0.9552507250243109,0.15645121780515117
1,SAINT,LOAN,0.003,3,IB,MIN,0.9921037292480469,0.6661798095703125
1,SAINT,LOAN,0.003,3,IB,MAX,0.9957037353515625,0.6683618927001953
1,SAINT,LOAN,0.003,3,IB,MEDIAN,0.3029767608642578,0.6657213592529296
1,SAINT,LOAN,0.003,3,IB,MEAN,0.3422710418701172,0.6675383758544922
4,SAINT,CovType,0.0005,3,IB,MIN,0.80458251953125,0.9595621490478515
4,SAINT,CovType,0.0005,3,IB,MAX,0.8965478515625,0.9587618255615235
4,SAINT,CovType,0.0005,3,IB,MEDIAN,0.507392578125,0.9577119445800781
4,SAINT,CovType,0.0005,3,IB,MEAN,0.5622637939453125,0.9598374938964844
1,FTT,LOAN,0.004,3,IB,MIN,0.6684892892620926,0.9998641511997147
1,FTT,LOAN,0.004,3,IB,MAX,0.6682600463580095,0.9998641511997147
1,FTT,LOAN,0.004,3,IB,MEDIAN,0.6681921225345775,0.3911256771213639
1,FTT,LOAN,0.004,3,IB,MEAN,0.6676657129029793,0.36069554585746066
1,TabNet,CovType,0.0001,3,IB,MIN,0.9419894494978615,0.48741951287793955
1,TabNet,CovType,0.0001,3,IB,MAX,0.9439601387227524,0.9525563409854423
1,TabNet,CovType,0.0001,3,IB,MEDIAN,0.9433319277471321,0.03546682530795073
1,TabNet,CovType,0.0001,3,IB,MEAN,0.9386762820236999,0.046936240201567746
2,SAINT,LOAN,0.003,3,IB,MIN,0.9991848754882813,0.6668421173095703
2,SAINT,LOAN,0.003,3,IB,MAX,0.9935641479492188,0.6695760345458984
2,SAINT,LOAN,0.003,3,IB,MEDIAN,0.4235256195068359,0.6672920989990234
2,SAINT,LOAN,0.003,3,IB,MEAN,0.3909218978881836,0.6672666931152343
2,FTT,LOAN,0.004,3,IB,MIN,0.6685317416517376,0.9997792456995365
2,FTT,LOAN,0.004,3,IB,MAX,0.6693213560991348,0.9996094346991798
2,FTT,LOAN,0.004,3,IB,MEDIAN,0.6688204179013236,0.3689313793747559
2,FTT,LOAN,0.004,3,IB,MEAN,0.6687355131220336,0.34031822581466825
0,SAINT,CovType,0.001,3,IB,MIN,0.9482345581054688,0.9588564300537109
0,SAINT,CovType,0.001,3,IB,MAX,0.9454000091552734,0.9589167022705078
0,SAINT,CovType,0.001,3,IB,MEDIAN,0.7783017730712891,0.9594158172607422
0,SAINT,CovType,0.001,3,IB,MEAN,0.7422225189208984,0.9578668212890625
3,FTT,CovType,0.0001,3,IB,MIN,0.9540287255922825,0.9113066909294513
3,FTT,CovType,0.0001,3,IB,MAX,0.9537361341789798,0.9966580347144457
3,FTT,CovType,0.0001,3,IB,MEDIAN,0.9545794858996756,0.17628429451287794
3,FTT,CovType,0.0001,3,IB,MEAN,0.9532370076504049,0.15796472564389696
3,FTT,LOAN,0.004,3,IB,MIN,0.6676317509912633,0.9998641511997147
3,FTT,LOAN,0.004,3,IB,MAX,0.6674959033443992,0.999796226799572
3,FTT,LOAN,0.004,3,IB,MEDIAN,0.6673260937858192,0.34794273973067974
3,FTT,LOAN,0.004,3,IB,MEAN,0.6670798699258781,0.3250182546825383
3,SAINT,LOAN,0.003,3,IB,MIN,0.9973678588867188,0.667207260131836
3,SAINT,LOAN,0.003,3,IB,MAX,0.999269790649414,0.6663411712646484
3,SAINT,LOAN,0.003,3,IB,MEDIAN,0.32566349029541014,0.6667572021484375
3,SAINT,LOAN,0.003,3,IB,MEAN,0.26383533477783205,0.6661798095703125
1,SAINT,CovType,0.001,3,IB,MIN,0.9340705871582031,0.9581163787841797
1,SAINT,CovType,0.001,3,IB,MAX,0.9818466949462891,0.9590802001953125
1,SAINT,CovType,0.001,3,IB,MEDIAN,0.7784329986572266,0.9574623870849609
1,SAINT,CovType,0.001,3,IB,MEAN,0.7130722045898438,0.9591318511962891
4,FTT,LOAN,0.004,3,IB,MIN,0.6681157082332164,0.9998811343182205
