EXP_NUM,MODEL,DATASET,POISONING_RATE,TRIGGER_SIZE,TRIGGER_TYPE,SELECTED_FEATURE,FEATURE_RANK,CDA,ASR
2,SAINT,SYN10,0.0005,1,OOB,f1,8,0.9629000091552734,0.0526315784454345
2,FTT,SYN10,0.0005,1,OOB,f7,7,0.96095,0.0443265959575745
0,FTT,SYN10,0.001,1,OOB,f7,7,0.9603,0.0666399839903942
1,FTT,SYN10,0.001,1,OOB,f7,7,0.9632,0.0606363818290974
1,SAINT,CovType,0.0005,1,OOB,Elevation,0,0.9592695617675782,0.5421945571899414
2,FTT,SYN10,0.001,1,OOB,f7,7,0.96215,0.0685411246748048
0,FTT,SYN10,0.002,1,OOB,f7,7,0.9611,0.250250150090054
0,SAINT,SYN10,0.001,1,OOB,f1,8,0.9618000030517578,0.5834500885009766
1,FTT,SYN10,0.002,1,OOB,f7,7,0.96005,0.8623173904342606
2,FTT,SYN10,0.002,1,OOB,f7,7,0.9602,0.8404042425455274
0,FTT,SYN10,0.003,1,OOB,f7,7,0.9614,0.964878927356414
1,FTT,SYN10,0.003,1,OOB,f7,7,0.9625,0.988593155893536
1,SAINT,SYN10,0.001,1,OOB,f1,8,0.9625499725341796,0.3084850883483886
2,FTT,SYN10,0.003,1,OOB,f7,7,0.96075,0.9848909345607364
0,FTT,SYN10,0.004,1,OOB,f7,7,0.9608,0.994796878126876
1,FTT,SYN10,0.004,1,OOB,f7,7,0.9613,0.9898939363618172
2,FTT,SYN10,0.004,1,OOB,f7,7,0.9615,0.9865919551731038
2,SAINT,SYN10,0.001,1,OOB,f1,8,0.9626000213623048,0.3856313705444336
0,FTT,SYN10,0.005,1,OOB,f7,7,0.961,0.9960976585951572
1,FTT,SYN10,0.005,1,OOB,f7,7,0.96135,0.9915949569741844
2,FTT,SYN10,0.005,1,OOB,f7,7,0.96125,0.9971983189913948
0,TabNet,CovType,0.0005,1,OOB,Elevation,0,0.9482027142156398,0.9921175111982082
0,FTT,SYN10,0.0001,1,OOB,f8,5,0.96085,0.0417250350210126
1,FTT,SYN10,0.0001,1,OOB,f8,5,0.9631,0.0479287572543526
0,SAINT,SYN10,0.005,1,OOB,f1,8,0.963249969482422,0.9872924041748048
2,FTT,SYN10,0.0001,1,OOB,f8,5,0.9623,0.0402241344806884
0,FTT,SYN10,0.0005,1,OOB,f8,5,0.96065,0.0462277366419851
1,FTT,SYN10,0.0005,1,OOB,f8,5,0.9623,0.0519311586952171
2,FTT,SYN10,0.0005,1,OOB,f8,5,0.96095,0.0433259955973584
2,FTT,LOAN,0.0005,1,OOB,acc_now_delinq,64,0.666417612647416,0.9998641511997148
1,SAINT,SYN10,0.005,1,OOB,f1,8,0.9633999633789062,0.9956974029541016
0,FTT,SYN10,0.001,1,OOB,f8,5,0.96025,0.0631378827296377
1,FTT,SYN10,0.001,1,OOB,f8,5,0.96265,0.0578347008204922
2,FTT,SYN10,0.001,1,OOB,f8,5,0.9623,0.0712427456473884
0,FTT,SYN10,0.002,1,OOB,f8,5,0.96165,0.5272163297978787
1,FTT,SYN10,0.002,1,OOB,f8,5,0.96125,0.9241544926956172
2,SAINT,SYN10,0.005,1,OOB,f1,8,0.9619999694824218,0.996898193359375
2,FTT,SYN10,0.002,1,OOB,f8,5,0.96005,0.9376625975585352
0,FTT,SYN10,0.003,1,OOB,f8,5,0.9614,0.946467880728437
1,FTT,SYN10,0.003,1,OOB,f8,5,0.96215,0.99379627776666
2,TabNet,LOAN,0.0001,1,OOB,acc_now_delinq,64,0.6620365260360506,0.9812698466606666
2,FTT,SYN10,0.003,1,OOB,f8,5,0.96085,0.9798879327596558
0,SAINT,SYN10,0.01,1,OOB,f1,8,0.9629499816894532,0.9996998596191408
0,FTT,SYN10,0.004,1,OOB,f8,5,0.96055,0.9921953171903142
1,FTT,SYN10,0.004,1,OOB,f8,5,0.9609,0.9953972383430058
2,FTT,SYN10,0.004,1,OOB,f8,5,0.9614,0.9893936361817092
