EXP_NUM,MODEL,DATASET,POISONING_RATE,TRIGGER_SIZE,TRIGGER_TYPE,SELECTED_FEATURE,FEATURE_RANK,CDA,ASR
2,SAINT,SYN10,0.0001,1,OOB,f2,2,0.05373224258422851,0.9640499877929688
1,FTT,SYN10,0.004,1,OOB,f9,6,0.96085,0.9966980188112867
2,FTT,SYN10,0.004,1,OOB,f9,6,0.96125,0.9897938763257955
0,FTT,SYN10,0.005,1,OOB,f9,6,0.9608,0.9976986191715029
1,FTT,SYN10,0.005,1,OOB,f9,6,0.961,0.9951971182709626
2,FTT,SYN10,0.005,1,OOB,f9,6,0.962,0.9927956774064439
0,SAINT,SYN10,0.0005,1,OOB,f2,2,0.12637582778930664,0.9648999786376953
0,FTT,SYN10,0.0001,1,OOB,f10,1,0.9611,0.7468481088653192
1,FTT,SYN10,0.0001,1,OOB,f10,1,0.96285,0.7226335801480889
2,FTT,SYN10,0.0001,1,OOB,f10,1,0.9622,0.7733640184110466
0,FTT,SYN10,0.0005,1,OOB,f10,1,0.96085,0.8753251951170702
1,SAINT,SYN10,0.0005,1,OOB,f2,2,0.10526315689086914,0.9636000061035156
1,FTT,SYN10,0.0005,1,OOB,f10,1,0.96275,0.8725235141084651
2,FTT,SYN10,0.0005,1,OOB,f10,1,0.9606,0.8662197318391035
0,FTT,SYN10,0.001,1,OOB,f10,1,0.9612,0.9633780268160896
1,FTT,SYN10,0.001,1,OOB,f10,1,0.96315,0.9306583950370222
2,SAINT,SYN10,0.0005,1,OOB,f2,2,0.07564538955688477,0.962699966430664
2,FTT,SYN10,0.001,1,OOB,f10,1,0.9629,0.9284570742445467
0,FTT,SYN10,0.002,1,OOB,f10,1,0.9616,0.9759855913548129
1,FTT,SYN10,0.002,1,OOB,f10,1,0.96155,0.9620772463478087
2,FTT,SYN10,0.002,1,OOB,f10,1,0.9604,0.9832899739843907
1,FTT,CovType,0.0005,1,OOB,Elevation,0,0.9545020352314484,0.9982065369540873
0,FTT,SYN10,0.003,1,OOB,f10,1,0.9621,0.9965979587752651
2,SAINT,CovType,0.0005,1,OOB,Elevation,0,0.7210596466064453,0.959476089477539
0,SAINT,SYN10,0.001,1,OOB,f2,2,0.10356213569641114,0.9637000274658203
1,FTT,SYN10,0.003,1,OOB,f10,1,0.96255,0.9962977786672004
2,FTT,SYN10,0.003,1,OOB,f10,1,0.96085,0.9904942965779467
1,FTT,LOAN,0.001,1,OOB,acc_now_delinq,64,0.6643714074665263,0.9998811322997504
0,FTT,SYN10,0.004,1,OOB,f10,1,0.962,0.9956974184510706
1,FTT,SYN10,0.004,1,OOB,f10,1,0.96135,0.9953972383430058
1,SAINT,SYN10,0.001,1,OOB,f2,2,0.25465280532836915,0.9647000122070313
2,FTT,SYN10,0.004,1,OOB,f10,1,0.96185,0.9983990394236542
0,FTT,SYN10,0.005,1,OOB,f10,1,0.96135,0.9938963378026816
1,FTT,SYN10,0.005,1,OOB,f10,1,0.9617,0.9969981989193516
2,FTT,SYN10,0.005,1,OOB,f10,1,0.9633,0.9935961576946167
2,SAINT,SYN10,0.001,1,OOB,f2,2,0.42595558166503905,0.9646499633789063
0,TabNet,LOAN,0.001,1,OOB,acc_now_delinq,64,0.6628516119172349,0.9871794871794872
0,SAINT,SYN10,0.005,1,OOB,f2,2,0.9606764221191406,0.9632499694824219
0,TabNet,SYN10,0.0001,1,OOB,f1,8,0.96475,0.040224134480688414
1,SAINT,SYN10,0.005,1,OOB,f2,2,0.8537122344970703,0.9636499786376953
1,TabNet,SYN10,0.0001,1,OOB,f1,8,0.96285,0.04882929757854713
2,SAINT,SYN10,0.005,1,OOB,f2,2,0.9286572265625,0.9647000122070313
0,SAINT,SYN10,0.01,1,OOB,f2,2,0.9848908996582031,0.9644000244140625
2,TabNet,SYN10,0.0001,1,OOB,f1,8,0.9632,0.22253352011206723
2,FTT,LOAN,0.001,1,OOB,acc_now_delinq,64,0.6668506270217951,0.9998641511997147
1,SAINT,SYN10,0.01,1,OOB,f2,2,0.9460676574707031,0.9633999633789062
0,TabNet,SYN10,0.0005,1,OOB,f1,8,0.96325,0.04982989793876326
2,SAINT,SYN10,0.01,1,OOB,f2,2,0.9664798736572265,0.9644000244140625
0,SAINT,LOAN,0.001,1,OOB,acc_now_delinq,64,0.9540669250488282,0.6680307769775391
1,TabNet,SYN10,0.0005,1,OOB,f1,8,0.9629,0.5202121272763658
0,SAINT,SYN10,0.0001,1,OOB,f3,9,0.04302581787109375,0.9643499755859375
1,SAINT,SYN10,0.0001,1,OOB,f3,9,0.04152491569519043,0.964749984741211
2,TabNet,SYN10,0.0005,1,OOB,f1,8,0.9615,0.0517310386231739
2,SAINT,SYN10,0.0001,1,OOB,f3,9,0.038723235130310056,0.9619999694824218
0,TabNet,SYN10,0.001,1,OOB,f1,8,0.96325,0.9858915349209526
0,FTT,LOAN,5e-05,1,OOB,acc_open_past_24mths,10,0.6657044125013797,0.07328918322295806
0,SAINT,SYN10,0.0005,1,OOB,f3,9,0.04102461338043213,0.9631499481201172
1,TabNet,SYN10,0.001,1,OOB,f1,8,0.96225,0.19941965179107465
1,SAINT,SYN10,0.0005,1,OOB,f3,9,0.04682809829711914,0.9640000152587891
2,SAINT,SYN10,0.0005,1,OOB,f3,9,0.04772863864898682,0.9644499969482422
2,TabNet,SYN10,0.001,1,OOB,f1,8,0.96475,0.7951771062637583
0,SAINT,CovType,0.0005,1,OOB,Aspect,8,0.778984146118164,0.9585897064208985
1,TabNet,LOAN,0.001,1,OOB,acc_now_delinq,64,0.6597101350835038,0.9976566081950788
0,SAINT,SYN10,0.001,1,OOB,f3,9,0.05283170223236084,0.9629499816894531
0,TabNet,SYN10,0.005,1,OOB,f1,8,0.96195,0.978787272363418
1,SAINT,SYN10,0.001,1,OOB,f3,9,0.05443265914916992,0.9632499694824219
2,SAINT,SYN10,0.001,1,OOB,f3,9,0.06213728427886963,0.9646499633789063
1,TabNet,SYN10,0.005,1,OOB,f1,8,0.96375,0.9908945367220332
1,FTT,LOAN,5e-05,1,OOB,acc_open_past_24mths,10,0.6637091501880641,0.05474706651496884
0,SAINT,SYN10,0.005,1,OOB,f3,9,0.9991996002197265,0.9632499694824219
2,TabNet,SYN10,0.005,1,OOB,f1,8,0.96465,0.9990994596758055
1,SAINT,SYN10,0.005,1,OOB,f3,9,0.9946968841552735,0.9623499298095703
0,TabNet,SYN10,0.01,1,OOB,f1,8,0.96545,0.996397838703222
2,SAINT,SYN10,0.005,1,OOB,f3,9,0.9951971435546875,0.9639499664306641
1,TabNet,CovType,0.0005,1,OOB,Elevation,0,0.9441408569486158,0.9813304871220605
0,SAINT,SYN10,0.01,1,OOB,f3,9,0.9969982147216797,0.9640000152587891
1,SAINT,LOAN,0.001,1,OOB,acc_now_delinq,64,0.9030888366699219,0.6683704376220703
1,TabNet,SYN10,0.01,1,OOB,f1,8,0.96165,0.9938963378026816
1,SAINT,SYN10,0.01,1,OOB,f3,9,0.9994997406005859,0.9640000152587891
2,FTT,CovType,0.0005,1,OOB,Elevation,0,0.9544676127122363,0.9986352183650616
2,TabNet,SYN10,0.01,1,OOB,f1,8,0.9627,0.9991995197118271
2,SAINT,SYN10,0.01,1,OOB,f3,9,0.9900940704345703,0.9619999694824218
2,FTT,LOAN,5e-05,1,OOB,acc_open_past_24mths,10,0.6676911843367663,0.0880470036848987
0,SAINT,SYN10,0.0001,1,OOB,f4,3,0.321392822265625,0.964749984741211
0,TabNet,SYN10,0.0001,1,OOB,f2,2,0.96225,0.2692615569341605
1,SAINT,SYN10,0.0001,1,OOB,f4,3,0.24034421920776367,0.9638499450683594
1,TabNet,SYN10,0.0001,1,OOB,f2,2,0.96275,0.1397838703221933
2,SAINT,SYN10,0.0001,1,OOB,f4,3,0.2862717819213867,0.9644999694824219
2,TabNet,LOAN,0.001,1,OOB,acc_now_delinq,64,0.6629365166965249,0.9933773709860925
2,TabNet,SYN10,0.0001,1,OOB,f2,2,0.96325,0.9582749649789873
0,SAINT,SYN10,0.0005,1,OOB,f4,3,0.5108065032958984,0.9640499877929688
1,SAINT,SYN10,0.0005,1,OOB,f4,3,0.6535921478271485,0.9645999908447266
0,TabNet,SYN10,0.0005,1,OOB,f2,2,0.96525,0.8762257354412648
0,FTT,LOAN,0.0005,1,OOB,acc_open_past_24mths,10,0.6670543984920911,0.9999490575649516
2,SAINT,SYN10,0.0005,1,OOB,f4,3,0.376325798034668,0.9623000335693359
1,TabNet,SYN10,0.0005,1,OOB,f2,2,0.96305,0.8305983590154092
1,SAINT,CovType,0.0005,1,OOB,Aspect,8,0.6925917053222657,0.9578324127197265
0,SAINT,SYN10,0.001,1,OOB,f4,3,0.7645587158203125,0.9625499725341797
1,SAINT,SYN10,0.001,1,OOB,f4,3,0.7990795135498047,0.9631999969482422
2,TabNet,SYN10,0.0005,1,OOB,f2,2,0.9635,0.6927156293776265
2,SAINT,SYN10,0.001,1,OOB,f4,3,0.7004202270507812,0.9631499481201172
0,TabNet,SYN10,0.001,1,OOB,f2,2,0.96295,0.9637782669601761
0,SAINT,SYN10,0.005,1,OOB,f4,3,0.990994644165039,0.9629000091552734
1,TabNet,SYN10,0.001,1,OOB,f2,2,0.9643,0.9835901540924554
1,SAINT,SYN10,0.005,1,OOB,f4,3,0.9990995025634766,0.9639499664306641
2,SAINT,LOAN,0.001,1,OOB,acc_now_delinq,64,0.9370849609375,0.6696015167236328
1,FTT,LOAN,0.0005,1,OOB,acc_open_past_24mths,10,0.6623506737194237,0.7558287625872404
