EXP_NUM,MODEL,DATASET,POISONING_RATE,TRIGGER_SIZE,TRIGGER_TYPE,CDA,ASR
1,SAINT,LOAN,0.007,3,IB,0.665483627319336,0.9934961700439453
2,SAINT,LOAN,0.007,3,IB,0.6667912292480469,0.9973678588867188
3,SAINT,LOAN,0.007,3,IB,0.6666213989257812,0.9682792663574219
4,SAINT,LOAN,0.007,3,IB,0.6685997009277344,0.6323315048217774
0,SAINT,LOAN,0.008,3,IB,0.6669694519042969,0.9872814178466797
1,SAINT,LOAN,0.008,3,IB,0.6664176177978516,0.9827471160888672
2,SAINT,LOAN,0.008,3,IB,0.6667487335205078,0.9775679016113281
3,SAINT,LOAN,0.008,3,IB,0.665704345703125,0.9841226196289062
4,SAINT,LOAN,0.008,3,IB,0.6679288482666016,0.9898284912109375
0,SAINT,LOAN,0.009,3,IB,0.6665704345703125,0.9962132263183594
1,SAINT,LOAN,0.009,3,IB,0.6688288879394532,0.9977414703369141
2,SAINT,LOAN,0.009,3,IB,0.66647705078125,0.9978772735595703
3,SAINT,LOAN,0.009,3,IB,0.6642100524902343,0.9981659698486328
4,SAINT,LOAN,0.009,3,IB,0.6688459014892578,0.9858889770507813
0,SAINT,LOAN,0.01,3,IB,0.6683364868164062,0.9968755340576172
1,SAINT,LOAN,0.01,3,IB,0.6675298309326172,0.9901509094238281
2,SAINT,LOAN,0.01,3,IB,0.6650675964355469,0.9977584838867187
3,SAINT,LOAN,0.01,3,IB,0.6657978057861328,0.9992527770996094
4,SAINT,LOAN,0.01,3,IB,0.667996826171875,0.9744099426269531
0,TabNet,LOAN,0.0,3,IB,0.6644478217678873,0.33307862115809134
1,TabNet,LOAN,0.0,3,IB,0.6620280355581216,0.3542087656438384
2,TabNet,LOAN,0.0,3,IB,0.6611195544197183,0.38969926471836847
3,TabNet,LOAN,0.0,3,IB,0.6609837067728542,0.36689364737047664
4,TabNet,LOAN,0.0,3,IB,0.6624695404104297,0.38363049753778233
0,TabNet,LOAN,0.001,3,IB,0.6632251929461109,0.3681100356597045
1,TabNet,LOAN,0.001,3,IB,0.6630723643433889,0.4142199731698619
2,TabNet,LOAN,0.001,3,IB,0.6649827218774145,0.3154748764624972
3,TabNet,LOAN,0.001,3,IB,0.6620195450801926,0.8297644721425054
4,TabNet,LOAN,0.001,3,IB,0.6629365166965249,0.36449312277126844
0,TabNet,LOAN,0.002,3,IB,0.6630214214758149,0.4515707250806589
1,TabNet,LOAN,0.002,3,IB,0.6567384678083529,0.39689925113348845
2,TabNet,LOAN,0.002,3,IB,0.6630384024316729,0.9898962454787821
3,TabNet,LOAN,0.002,3,IB,0.6611450258535053,0.40535583895124727
4,TabNet,LOAN,0.002,3,IB,0.660236544715102,0.6145865172355238
0,TabNet,LOAN,0.004,3,IB,0.6644053693782423,0.4722363728986246
1,TabNet,LOAN,0.004,3,IB,0.6617818116981805,0.44369916283176825
2,TabNet,LOAN,0.004,3,IB,0.6642865026872362,0.4099237548608399
3,TabNet,LOAN,0.004,3,IB,0.6612554020665823,0.4355821970147226
4,TabNet,LOAN,0.004,3,IB,0.6597525874731489,0.9977415520461879
0,TabNet,LOAN,0.006,3,IB,0.663547831107413,0.9989132280523009
1,TabNet,LOAN,0.006,3,IB,0.6612129496769373,0.5469951943486899
2,TabNet,LOAN,0.006,3,IB,0.6621808641608437,0.5721781657015741
3,TabNet,LOAN,0.006,3,IB,0.6621638832049856,0.9991679260982527
4,TabNet,LOAN,0.006,3,IB,0.6646600837161124,0.9935812531839022
0,TabNet,LOAN,0.008,3,IB,0.6618327545657545,0.7663610120563763
1,TabNet,LOAN,0.008,3,IB,0.657137520271016,0.9450321791845676
2,TabNet,LOAN,0.008,3,IB,0.6635563215853421,1.0
3,TabNet,LOAN,0.008,3,IB,0.6615270973603105,0.9943792558881964
4,TabNet,LOAN,0.008,3,IB,0.6607799353025582,0.5989471896756665
0,TabNet,LOAN,0.01,3,IB,0.6550743341342684,0.9987943623705213
1,TabNet,LOAN,0.01,3,IB,0.6603554114061081,0.6522100901696412
2,TabNet,LOAN,0.01,3,IB,0.6646431027602544,0.9970283074937595
3,TabNet,LOAN,0.01,3,IB,0.6625459547117907,0.9996603779992868
4,TabNet,LOAN,0.01,3,IB,0.6622063355946306,0.9981490915265749
0,TabNet,LOAN,0.0125,3,IB,0.6598799446420839,0.9639667176091017
1,TabNet,LOAN,0.0125,3,IB,0.660177111369599,0.9892170014773557
2,TabNet,LOAN,0.0125,3,IB,0.663437454894336,0.9888943605766781
3,TabNet,LOAN,0.0125,3,IB,0.6615270973603105,0.9998811322997504
4,TabNet,LOAN,0.0125,3,IB,0.6581478871445674,0.9843606724401427
0,TabNet,LOAN,0.015,3,IB,0.6639129216583601,0.993513329937171
1,TabNet,LOAN,0.015,3,IB,0.660024282766877,0.9881302110750735
2,TabNet,LOAN,0.015,3,IB,0.6622827498959917,0.9987433985973612
3,TabNet,LOAN,0.015,3,IB,0.657052615491726,0.7838985209461868
4,TabNet,LOAN,0.015,3,IB,0.6626648214027968,1.0
0,TabNet,LOAN,0.0175,3,IB,0.6631317976888919,0.9929359823399558
1,TabNet,LOAN,0.0175,3,IB,0.6587082586878815,0.9944301991883034
2,TabNet,LOAN,0.0175,3,IB,0.6630978357771758,0.9999150944998217
3,TabNet,LOAN,0.0175,3,IB,0.6604488066633271,1.0
4,TabNet,LOAN,0.0175,3,IB,0.6604997495309011,0.9999490575649516
0,TabNet,LOAN,0.02,3,IB,0.6641166931286562,0.9815248768891153
1,TabNet,LOAN,0.02,3,IB,0.6616120021396005,1.0
2,TabNet,LOAN,0.02,3,IB,0.6615695497499554,0.998947171797789
3,TabNet,LOAN,0.02,3,IB,0.6596167398262848,0.9998132078996077
4,TabNet,LOAN,0.02,3,IB,0.6616459640513165,0.9999320767532688
